"Price","Type","Room","Footage","Treatment"
790000,"2",4,141,"1"
429000,"1",3,78,"1"
365000,"1",2,63,"1"
270000,"1",2,86,"1"
635000,"2",4,185,"1"
895000,"2",3,180,"1"
335000,"1",2,75,"1"
519000,"1",3,88,"1"
3e+05,"1",2,66,"1"
314000,"1",1,55,"1"
274000,"1",3,74,"1"
250000,"1",1,49,"1"
264000,"1",2,72,"1"
345000,"1",2,68,"1"
245000,"1",1,50,"1"
270000,"1",2,86,"1"
599000,"2",4,113,"1"
495000,"1",3,94,"1"
990000,"2",5,231,"1"
550000,"2",4,116,"1"
495000,"2",3,116,"1"
231000,"1",3,80,"1"
1300000,"2",5,421,"1"
550000,"1",5,173,"1"
280000,"1",2,72,"1"
820000,"2",4,170,"1"
820000,"2",4,170,"1"
280000,"1",1,53,"1"
330000,"1",2,68,"1"
455000,"1",3,78,"1"
445000,"1",2,70,"1"
384000,"1",2,63,"1"
379000,"1",2,71,"1"
920000,"2",5,200,"1"
170000,"1",1,49,"1"
698000,"2",4,136,"1"
449000,"2",3,117,"1"
224644,"1",2,67,"1"
330000,"1",2,68,"1"
298000,"1",2,61,"1"
375000,"1",2,63,"1"
320000,"1",2,65,"1"
487000,"2",3,80,"1"
199500,"1",1,42,"1"
621000,"2",3,133,"1"
186684,"1",1,55,"1"
280000,"1",1,53,"1"
189000,"1",1,43,"1"
835000,"2",3,145,"1"
495000,"2",3,104,"1"
329000,"1",3,77,"1"
670000,"2",4,123,"1"
215000,"1",1,50,"1"
345000,"1",2,67,"1"
445000,"1",3,86,"1"
920000,"2",5,200,"1"
307357,"1",3,88,"1"
230000,"1",1,59,"1"
206000,"1",1,51,"1"
1195000,"2",5,164,"1"
698000,"2",4,136,"1"
435000,"2",3,80,"1"
346000,"1",1,68,"1"
461000,"1",1,94,"1"
380000,"1",2,87,"1"
517000,"1",1,107,"1"
990000,"2",4,195,"1"
397000,"1",4,116,"1"
650000,"1",4,123,"1"
289000,"1",3,70,"1"
182000,"1",1,49,"1"
835000,"2",3,145,"1"
280000,"1",2,83,"1"
275600,"1",2,71,"1"
995000,"2",7,220,"1"
199000,"1",1,45,"1"
190000,"1",1,43,"1"
205000,"1",1,38,"1"
180000,"1",1,65,"1"
649000,"2",7,517,"1"
259000,"1",1,43,"1"
421500,"1",4,133,"1"
895000,"2",5,266,"1"
435000,"1",3,78,"1"
314000,"1",1,55,"1"
259000,"1",1,43,"1"
418000,"1",2,75,"1"
1195000,"2",4,232,"1"
194000,"1",2,44,"1"
199000,"1",2,45,"1"
770000,"2",4,176,"1"
229761,"1",2,69,"1"
186812,"1",1,55,"1"
346000,"1",2,68,"1"
895000,"2",3,212,"1"
439000,"1",3,78,"1"
312000,"1",3,91,"1"
698000,"2",4,136,"1"
249000,"1",3,69,"1"
312000,"1",3,91,"1"
517000,"1",4,106,"1"
455000,"1",3,77,"1"
2980000,"2",6,450,"1"
895000,"2",3,212,"1"
235000,"1",2,58,"1"
770000,"2",4,176,"1"
194000,"1",2,44,"1"
199000,"1",2,45,"1"
649000,"2",7,517,"1"
1195000,"2",4,232,"1"
418000,"1",2,75,"1"
698000,"2",4,136,"1"
346000,"1",1,68,"1"
360000,"1",3,102,"1"
259000,"1",1,43,"1"
346000,"1",2,68,"1"
755000,"2",3,146,"1"
330000,"2",4,99,"1"
342000,"1",1,67,"1"
428000,"1",1,76,"1"
373000,"1",1,62,"1"
1031000,"2",5,400,"1"
449000,"2",3,108,"1"
575000,"2",3,150,"1"
1300000,"2",5,421,"1"
175000,"1",2,36,"1"
370000,"2",1,112,"1"
270000,"1",1,53,"1"
461000,"1",3,93,"1"
517000,"1",4,106,"1"
348000,"1",2,68,"1"
346000,"1",2,67,"1"
420000,"1",3,134,"1"
268000,"1",2,72,"1"
408000,"1",2,75,"1"
435000,"1",2,70,"1"
835000,"2",3,145,"1"
124700,"1",1,28,"1"
429000,"1",3,77,"1"
198000,"1",1,68,"1"
350000,"1",3,106,"1"
174000,"1",1,35,"1"
312500,"1",2,67,"1"
189000,"1",1,38,"1"
192000,"1",1,34,"1"
211000,"1",1,43,"1"
210000,"1",1,39,"1"
195200,"1",1,35,"1"
218000,"1",1,43,"1"
270000,"1",3,74,"1"
275000,"1",1,48,"1"
275000,"1",1,48,"1"
145000,"1",1,45,"1"
535000,"1",3,89,"1"
1150000,"2",4,208,"1"
181000,"1",2,62,"1"
237000,"1",2,55,"1"
1200000,"2",5,312,"1"
1300000,"2",5,421,"1"
380000,"1",2,64,"1"
895000,"2",4,212,"1"
2980000,"2",6,480,"1"
895000,"2",5,266,"1"
830000,"1",3,168,"1"
1750000,"2",4,307,"1"
745000,"2",4,140,"1"
360000,"1",3,117,"1"
420000,"1",3,84,"1"
329000,"1",3,77,"1"
3e+05,"1",2,66,"1"
539000,"2",3,141,"1"
835000,"2",3,145,"1"
269000,"1",4,85,"1"
285000,"1",2,72,"1"
770000,"2",5,175,"1"
230000,"1",1,46,"1"
218000,"1",1,54,"1"
230000,"1",1,46,"1"
420000,"1",3,84,"1"
270000,"1",2,86,"1"
728000,"1",4,150,"1"
695000,"2",4,130,"1"
355000,"1",2,65,"1"
182000,"1",2,63,"1"
234000,"1",2,81,"1"
1300000,"2",5,421,"1"
238000,"1",1,48,"1"
490000,"1",3,88,"1"
580000,"2",1,105,"1"
195000,"1",3,59,"1"
419000,"1",3,78,"1"
272000,"1",1,54,"1"
365000,"1",2,63,"1"
210000,"1",1,40,"1"
198000,"1",1,68,"1"
835000,"2",3,145,"1"
312000,"1",3,91,"1"
190000,"1",2,39,"0"
260000,"1",3,60,"0"
340000,"1",4,82,"0"
399000,"2",4,140,"0"
399000,"2",4,130,"0"
127000,"1",1,48,"0"
520000,"2",3,150,"0"
420000,"2",4,201,"0"
265000,"2",1,118,"0"
615000,"2",4,140,"0"
469000,"2",5,182,"0"
520000,"2",5,188,"0"
189000,"2",1,52,"0"
270000,"1",3,118,"0"
298565,"1",3,93,"0"
695000,"2",7,225,"0"
799000,"2",4,180,"0"
263000,"1",2,63,"0"
265000,"2",2,88,"0"
150000,"1",1,53,"0"
109900,"1",1,33,"0"
339000,"2",2,86,"0"
425000,"2",4,130,"0"
289000,"1",2,79,"0"
540000,"2",3,125,"0"
675000,"2",3,242,"0"
415000,"2",5,130,"0"
415000,"2",5,130,"0"
675000,"2",3,242,"0"
196000,"1",2,64,"0"
420000,"2",4,201,"0"
690000,"2",4,189,"0"
550000,"2",4,130,"0"
670000,"2",5,190,"0"
240000,"1",1,66,"0"
475000,"2",4,140,"0"
154000,"1",1,46,"0"
399000,"2",4,125,"0"
167000,"1",2,65,"0"
467000,"2",3,135,"0"
159000,"1",2,61,"0"
320000,"2",5,166,"0"
174000,"1",1,50,"0"
749000,"2",5,284,"0"
162000,"2",1,176,"0"
590000,"2",3,110,"0"
350000,"1",3,79,"0"
4e+05,"2",4,140,"0"
190000,"1",2,39,"0"
275000,"1",2,71,"0"
348000,"1",3,82,"0"
268000,"1",2,59,"0"
380000,"1",2,70,"0"
275000,"1",2,71,"0"
274000,"1",2,61,"0"
284000,"1",2,65,"0"
280000,"1",2,66,"0"
190000,"1",2,39,"0"
284000,"1",2,65,"0"
590000,"2",3,110,"0"
278000,"1",2,61,"0"
344000,"1",3,82,"0"
192000,"1",1,39,"0"
264000,"1",2,59,"0"
228000,"1",1,46,"0"
280000,"1",2,65,"0"
298000,"1",2,71,"0"
220000,"1",1,46,"0"
294000,"1",2,70,"0"
280000,"1",2,66,"0"
282000,"1",2,65,"0"
280000,"1",2,66,"0"
849000,"2",5,230,"0"
220000,"1",1,46,"0"
198000,"1",1,39,"0"
194000,"1",1,39,"0"
2e+05,"1",1,39,"0"
196000,"1",1,39,"0"
311000,"1",4,85,"0"
346000,"1",5,100,"0"
366000,"1",5,105,"0"
550000,"2",5,165,"0"
359000,"2",3,112,"0"
285000,"2",2,75,"0"
156000,"1",1,62,"0"
475000,"2",4,140,"0"
620000,"2",3,135,"0"
499000,"2",4,130,"0"
549000,"2",4,187,"0"
378000,"2",2,90,"0"
268000,"1",2,64,"0"
198000,"2",2,68,"0"
249000,"2",2,71,"0"
4e+05,"2",4,140,"0"
370000,"2",3,102,"0"
